,clean_text,translated_text,sentimen_score,sentimen
52,mobil listrik,electric car,0.0,Netral
53,situ tulis banyak yang pakai bukan semua mobil listrik tidak pakai batrei yang bahan nikel,"There it is written that many people use it, not all electric cars don't use nickel batteries",0.0,Netral
54,saat jual mobil listrik,when selling electric cars,0.0,Netral
55,makanya beli mobil listrik,that's why buy an electric car,0.0,Netral
56,charger mobil listrik juga masuk,Electric car chargers are also included,0.0,Netral
57,kok elak kalah saing dong kalau kita terusin produksi esemka china amp negara lain keluar mobil listrik yang jangkau tetapi kualitas jamin rubah strategi untuk ikut maju jaman masak tetap buat esemka hanya untuk penuh nafsu seperti indosat yang rugi,"How come we can't afford to lose competitiveness if we continue to produce Esemka, China and other countries will come out with electric cars that have range but guarantee quality, change the strategy to move forward in the cooking era, keep making Esemka just to be full of lust like Indosat, which is losing money.",0.455,Positif
58,astaganaga jahat bat beli mobil listrik subsidi besar an,"gosh, evil bat, buy a heavily subsidized electric car",-0.6597,Negatif
59,sembunyi di kolong mobil listrik,hiding under an electric car,-0.296,Negatif
60,semua mobil listrik pakai batrey,All electric cars use batteries,0.0,Netral
61,minn kalau kita punya mobil listrik sampai skrmg masih ada promo untuk penchargean dari jam 10 malam itu kah,"Minn, if we have an electric car until now there is still a promotion for charging from 10 pm, right?",0.0,Netral
62,mobil listrik murah apa mahal sih,cheap or expensive electric cars,0.0,Netral
63,bang kita barter honda beat saya dengan mobil listrik abang yok,"Bro, let's exchange my Honda Beat for an electric car, bro",0.0,Netral
64,wkwkwk benar malas pol antre bbm dan mobil listrik itu hemat pol kalau konversi neng bensin mah duit itungan e seperti bensin dah motor beat padahal tumpak e mobil sangar ngomong ngomong lek neng diri banyak cas an mobil listrik bakal ramai sih,"Wow, I'm really lazy, I'm queuing for fuel and electric cars are economical, if I convert to petrol, the money is like petrol and the motorbike beats, even though it's full, the car is really scary, by the way, I'm going to have lots of chargers, and electric cars are going to be busy, right?",0.0036,Positif
65,manusia modern pamerin mobil listrik canggih hp kelas laptop ini malah sendal apa coba manfaat buat rabies,"Modern humans show off sophisticated electric cars, laptop class cellphones, even sandals, what are the benefits for rabies?",0.7351,Positif
66,ingin mobil listrik sore kirim gambar sama mau yang warna apa mudah itu saja mintaminta ekwkwkkwkwmwkwkkwmwm,"If you want an electric car, send a picture in the afternoon, what color do you want, that's easy, just ask, please",0.7003,Positif
67,dapat mobil listrik,get an electric car,0.0,Netral
68,nanti lagi jadi instruktur mobil listrik,Later I will become an electric car instructor,0.0,Netral
69,susah ini makelar motor mobil listrik,It's difficult for an electric car motorbike broker,-0.3612,Negatif
70,ada benernua juga dan mobil listrik juga di kendali oleh sistem komputer kalau listrik dan komputer shut down atau ada kendala eror sistem selesai,there are also continents and electric cars are also controlled by a computer system if the electricity and computer shut down or there is a system error problem.,-0.6597,Negatif
71,simpel berapa kali kamu lihat mobil listrik vs mobil konvensional di jalan berapa sering kamu lihat spklu vs pom berapa jauh range mobil listrik orang mau beli mobil listrik ratarata kalau tidak mau bilang pasti sudah punya mobil konvensional minimal,"simple, how many times do you see an electric car vs a conventional car on the road, how often do you see a spklu vs a pom, how far does the range of an electric car, on average, if you don't want to say it, you already have a conventional car, at least",-0.0572,Negatif
72,kalau mobil listrik tidak dulu lah om pemporv tempat kemarin jabat teras pada dapat mobdin listrik tidak pakai lagi m,"If you don't have an electric car, Uncle Pemporv where you were yesterday, you can't use an electric car anymore, m",0.0,Netral
73,tidak ada lawan memang irit mobil listrik wuling airev tidak pusing lagi kalau mau ke bengkel,"There is no competition, the Wuling Airev electric car is really economical, you don't have to worry anymore if you want to go to the repair shop",0.1295,Positif
74,ada apa dengan mobil listrik,what's wrong with electric cars,-0.4767,Negatif
75,mobil listrik saja masih kendala banyak tetek bengek lain itu belum masuk saing sama mobil yang lebih ramah lingkung lain seperti hibrid hidrogen air tenaga surya bensin nabati,"Even electric cars still have a lot of other problems, but they are not yet competitive with other more environmentally friendly cars, such as hybrids, hydrogen, water, solar power, vegetable petrol.",0.475,Positif
76,fitra eri bisa nebak mobil listrik dari suara,Fitra Eri can guess an electric car from the sound,0.0,Netral
77,buat pabrik mobil listrik ya di indonesia keren,It's cool to build an electric car factory in Indonesia,0.3182,Positif
78,murah amp canggih apa mobil listrik tetap punya lemah teknis yang tonjol zero polusi hanya jargon,"cheap and sophisticated electric cars still have obvious technical weaknesses, zero pollution is just jargon",0.2732,Positif
79,benar kecuali mobil listrik,true except for electric cars,0.4215,Positif
80,jadi pinisirin dengan mobil listrik laris apa saja iya,"So pinisirin with any popular electric car, OK?",0.694,Positif
81,karena era mobil listrik pasti juga akan ganti dengan fcev,because the era of electric cars will definitely be replaced by FCEV,0.4019,Positif
82,kesana kalau mau keliling cuma bisa pakai shuttle saja ya sama mobil listrik,"If you want to go there, you can just use the shuttle and an electric car",0.0772,Positif
83,gas mobil listrik gass biar tambah macet jakarta nya karena tidak mungkin guna motor mau beli mobil listrik,Gass for electric cars makes Jakarta more congested because it's impossible to use a motorbike if you want to buy an electric car,0.0772,Positif
84,lagi berfikir mobil listrik bisa cas pakai cas kodok tidak yh,Are you thinking that electric cars can be charged using a frog charger?,-0.2023,Negatif
85,yang koar2 mobil listrik mobil listrik suruh borong itu barang,the people who shouted about electric cars ordered them to buy goods,0.0,Netral
86,bangkeee ini perintah dilobby berapa sih sama usaha mobil listrik sudah bilang utama transportasi umum malah milih taksi terbang bgst sekali saja kasih jetpack ke tiap orang di ikn,"Bro, how much is this an order to be lobbied for by the electric car business? They said that the main thing is public transportation, instead they choose flying taxis, that's great, just give a jetpack to everyone at IKN.",0.6249,Positif
87,dok mau tanya mobil listrik kalau rusak di bawa ke bengkel mobil apa ke tukang servis televisi,"Doc, I want to ask if an electric car is damaged, whether to take it to a car repair shop or to a television repairman",-0.3818,Negatif
88,ingin punya mansion mobil listrik amp usaha,want to have an electric car mansion amp business,0.0772,Positif
89,jadi balik dari koreya bawa mobil listrik langsung dari sana,"So coming back from Korea, take an electric car straight from there",0.2263,Positif
90,mobil listrik nek kumbah neng steam mobil bisa mbledos tidak toh dok,"electric car, if you wash it in steam, the car can explode",0.0,Netral
91,ngecharge mobil listrik,charging an electric car,0.0,Netral
92,kalau naik mobil listrik ujanujanan nyetrum tidak dok,"If you ride an electric car, the rain will not give you an electric shock",-0.3818,Negatif
93,apa sih wo mobil listrik kurang laku ya,"What the heck, electric cars don't sell well?",-0.2057,Negatif
94,akibat tidak inklusif kendara umum solusi apa iya mobil listrik cerdas banget,"As a result of not including public transportation, the solution is that electric cars are really smart",0.6478,Positif
95,mabuk kecuali tj yang sudah mobil listrik,drunk except tj who has an electric car,-0.34,Negatif
96,oh pantas iya tmennya bilang nab butuh genset di rumah nyata mau punya mobil listrik,"Oh, that's appropriate, my friend said that I need a generator at home, I really want to have an electric car",0.5849,Positif
97,kapok indonesia juga tidak butuh mobil listrik,Indonesia also doesn't need electric cars,0.0,Netral
98,iya lagi lagi suka sama mobil listrik padahal uang belum,"Yes, I like electric cars even though I don't have the money yet",0.6369,Positif
99,ingin punya mobil listrik wuling yallah,"I want to have a Wuling electric car, yallah",0.0772,Positif
100,kan benar wuling air ev nab sudah lama saya juga ingin sih mobil listrik kecil,"It's true that Wuling Air EV has been around for a long time, I've also wanted a small electric car",0.4215,Positif
101,ayo alih ke mobil listrik,let's switch to electric cars,0.0,Netral
102,wow makin tarik mobil listrik,wow electric cars are getting more and more interesting,0.7939,Positif
103,rasa tesla masih mandek sekali karena mobil listrik problem harga,I think Tesla is still very stagnant because electric cars are a price problem,-0.4019,Negatif
104,kamu masih mau beli mobil motor listrik kegoblokanunfaedah,You still want to buy an electric motorbike without any benefits,-0.2225,Negatif
105,woow ngeri kalau mobil listrik ya ledak jadi apa tumpang dalam,"Wow, it's scary if an electric car explodes, so what's going on inside?",0.1531,Positif
106,pr mobil listrik itu masih banyak banget jadi ragu mau beli,There are still a lot of electric cars so I'm hesitant about buying one,-0.3134,Negatif
107,tidak usah bang baik beli mobil listrik,"No need, bro, it's better to buy an electric car",0.1779,Positif
108,pulang langsung dp mobil listrik,go home directly with an electric car,0.0,Netral
109,mobil listrik lamalama overrated salah satu sebab banyak yang bilang mobil listrik lebih bisa atas polusi udara daripada naik transportasi umum naik sepeda dan jalan kaki,"Electric cars have long been overrated, one of the reasons why many say electric cars do more to reduce air pollution than using public transportation, bicycles and walking.",0.0,Netral
110,repot mobil listrik rusak baterai bayar harga mobil baru di amrik sudah banyak yang keluh perihal biaya servis non garansi belum lagi di indonesia tidak banyak bengkel 3rd pesta yang bisa servis monopoli brand laku dan harga bisa main,"The hassle of electric cars with damaged batteries, paying the price of new cars in America, many people have complained about the cost of non-warranty services, not to mention that in Indonesia there are not many third-party repair shops that can service monopolies, brands that sell well and prices can be played around with.",-0.2732,Negatif
111,in my opinion selagi minyak masih prediksi puluh tahun masih ada even ratus tahun mobil listrik tidak bakal bisa saya replace mobil bb fosil walau murah,"In my opinion, as long as oil is still available for decades, even hundreds of years, I will never be able to replace an electric car with a fossil fuel car, even if it is cheap.",0.0,Netral
112,konten mobil listrik ini sangat bosan begitu,The content of this electric car is so boring,-0.4572,Negatif
113,malees beli mobil listrik,Malees buy an electric car,0.0,Netral
114,beli mobil listrik isi pakai token,buy an electric car and fill it up using tokens,0.0,Netral
115,nyata mobil listrik bukan solusi,Really electric cars are not the solution,-0.2411,Negatif
116,benar cok kamu tau tidak mobil listrik yang ioniq itu ganteng banget bjirrr,"Is that true, did you know that the Ioniq electric car is really handsome?",0.7425,Positif
117,kira pabrikan mobil listrik tidak pikir baterai yang di khawatir baterai rusak baterai rusak ngapain khawatir baterai rusak yang khawatirin mah duit,"I think electric car manufacturers don't think about batteries, what's the point of worrying about damaged batteries, damaged batteries, why worry about damaged batteries, what's the worry is money",-0.9423,Negatif
118,bener2 hampir semua merk keluar mobil listrik,It's true that almost all brands of electric cars are coming out,0.4215,Positif
119,masih jauh lah impi semua mobil bensin ganti mobil listrik kalau spklu saja masih error sampai bulan bulan tidak benah,The dream of all petrol cars replacing electric cars is still a long way off if the spklu still has errors for months and months without being fixed,-0.1027,Negatif
120,lihatin mobil listrik di jalan kayake keren2 tapi kalau mau beli kayake belum sanggup awat,"Look at electric cars on the road, they're cool, but if you want to buy them, you can't afford to maintain them",0.2732,Positif
121,jangan lupa limbah baterai mobil listrik,Don't forget to waste electric car batteries,0.4585,Positif
122,mobil listrik lucu gemas dan betah,"cute electric car, fun and at home",0.743,Positif
123,kalau saya masih baik hyundai daripada mobil mobil cina itu tapi tetap saja tidak minat mobil listrik,"If I'm still better off with a Hyundai than a Chinese car, I'm still not interested in electric cars",0.1635,Positif
124,kalau turut saya yang nama mobil atau motor ya bas engine dan pasok energi tserah bensin air atau apa kalau pakai batere harga batere sudah 50 60 sendiri dan saat ini teknologi batere ya banget ada umur mobil listrik second nomor way haha,"If I follow the name of a car or motorbike, the engine and energy supply are up to petrol, water or what, if you use a battery, the price of the battery is already 50 or 60 per cent and currently battery technology is really old, second hand electric cars are way numbered haha",0.8207,Positif
125,beli mobil listrik mbak,"buy an electric car, sis",0.0,Netral
126,sparepart mobil listrik itu tidak banyak mobil bbm tapi harga jauh lebih mahal banding mobil bbm jangan beli,"There are not many spare parts for electric cars for petrol cars but the price is much more expensive than petrol cars, don't buy them",0.0,Netral
127,kak lebih murah servis mobil listrik jadi ayo beli mobil listrik di saya free servis 155 th15500km,"Sis, it's cheaper to service an electric car, so come on, buy an electric car from me, free service 155 th15500km",0.5106,Positif
128,pakai mobil listrik nyata repot om,"Using an electric car is really a hassle, bro",0.0,Netral
129,nanti pakai mobil listrik protes lagi gara-gara kenapa ngecharge tidak secepet hp,"Later, when using an electric car, I protest again because it doesn't charge as fast as a cellphone",-0.25,Negatif
130,7 tahun lagi bakal ada rongsok mobil listrik numpuk itu tukang rongsok madura bakal panen,"In 7 years, there will be piles of electric car scrap, Madura scrap workers will harvest",0.0,Netral
131,pokok sebab polusi itu karena mobil pribadi kita harus beli mobil listrik semua ujar,"The main cause of pollution is our private cars, we all have to buy electric cars, he said.",0.0,Netral
132,orang yang komen negatif dan tanya kenapa ada ada ini kaya kurang informasi mobil listrik itu 0 polusi udara ramah lingkung akselerasi bagus dan juga tidak berisik jadi kalau lagi kejar jahat bisa cepat ketangkep karena bisa kebut dan tau nongol di samping,"People who make negative comments and ask why this exists seem to lack information about electric cars, which are environmentally friendly, have 0 air pollution, good acceleration and are also not noisy, so if you are chasing a bad guy, you can catch him quickly because you can speed up and appear next to him.",-0.4371,Negatif
133,byd seal atau ioniq 5 feelnya beda pakai mobil listrik memang santai effortless betul tidak hobi kebut,"byd seal or ioniq 5, the feel is different when using an electric car, it's really relaxing, effortless, it's really not a hobby of speeding",0.5413,Positif
134,tidak mungkin lolos mobil listrik saja tidak lolos uji emisi,It's impossible to pass an electric car that doesn't pass the emissions test,0.0,Netral
135,tapi mobil listrik hanya untuk orang kaya,but electric cars are only for rich people,0.7096,Positif
136,percuma mobil listrik kalau jalan pakai sirine mah baik buat ngawal ambul mah,"electric cars are free if you drive with a siren, it's good to control traffic jams",0.7351,Positif
137,ini fyp saya mobil listrik semua curiga bakal beli cepat,This is my fyp electric car everyone is suspicious will buy soon,-0.3612,Negatif
138,kalau untuk kategori mobil listrik seperti itu bukan masuk kategori mewah walau harga memang cukup mahal,"In the electric car category, it is not in the luxury category even though the price is quite expensive",0.0,Netral
139,kalau habis minjam mobil listrik itu balikinnya kita isiin listrik dulu yang ngisinya juga lumayan lama iya apa ganti pakai kode token listrik saja iya,"If you've borrowed an electric car, return it, we'll fill it with electricity first, it takes quite a long time to fill it, so why not just use an electricity token code?",0.0,Netral
140,apa masalah mobil listrik solusi,what is the problem of electric cars the solution,-0.1027,Negatif
141,mobil listrik bukan solusi karena sumber baterai kan dari barang gali belum listrik dari bakar fosil juga eh belum bicara limbah baterai,"Electric cars are not a solution because the source of batteries is from excavated materials, not electricity from fossil fuels, but we haven't talked about battery waste",-0.6347,Negatif
142,mari kita beli mobil listrik,let's buy an electric car,0.0,Netral
143,ini lama2 saya butuh mobil listrik,I've been needing an electric car for a long time,0.0,Netral
144,harus mobil listrik pakai tenaga kaki biar sekali jogging,An electric car must use foot power to jog,0.0,Netral
145,mobil listrik itu murah banget ya,"Electric cars are really cheap, aren't they?",0.0,Netral
146,di swedia mobil listrik sudah bisa charge sambil jalan karena bawah aspal sudah ada teknologi,"In Sweden, electric cars can be charged while driving because the technology already exists under the asphalt",-0.2023,Negatif
147,kita tunggu kualitas yang lain kalau saya sih bakal beli mobil listrik 10thn lagi kenapa belum ada 1 pun mobil listrik yang usia lebih dari 8thn jadi belum ada bukti jangka panjang terus batere masih mahal banget amp infrastruktur belum rata,"Let's wait for other qualities. If I'm going to buy an electric car in 10 years, why hasn't there been a single electric car that is more than 8 years old, so there's no long-term proof, and batteries are still very expensive and infrastructure isn't up to par.",-0.3566,Negatif
148,mobil listrik kalau masih dari batu bara ya percuma orang indonesia cocok luar suka jalan kok tetapi sini fasilitas masih kurang jadi solusi bagusin itu fasilitas dan kendara umum tidak hanya jakarta banyakin pohontaman coba listrik tenaga surya amp sulit untuk punya kendara motor,"If an electric car is still made from coal, it's useless. Indonesians like to travel, but here the facilities are still lacking, so the solution is to improve the facilities and public transportation, not just Jakarta, add lots of trees, parks, try solar electricity, it's difficult to own a motorbike.",0.5883,Positif
149,apa masalah mobil listrik solusi,what is the problem of electric cars the solution,-0.1027,Negatif
150,jadi ingin pakai mobil listrik deh itu kalau ngcas rumah bayar listrik jadi berapa ya,"So I want to use an electric car, so how much do you pay for electricity at home?",0.0498,Positif
151,kenapa orangorang pada khawatir dengan harga baterai mobil listrik tetapi tidak khawatir dengan konsumsi bbm lama tahun tahun rasa rasa sama saja nominal nya,Why are people worried about the price of electric car batteries but not worried about fuel consumption over the years? The taste is the same as the nominal value.,-0.0772,Negatif
152,kemarin di grup ada yang jual mobil listrik yang mungil itu kalimat kirakira laku berapa ya padahal belum genap satu,Yesterday in the group someone was selling a small electric car and said how much it would sell even though it wasn't even one yet,0.0,Netral
153,memang semesta dukung saya banget buat beli mobil listrik kantor tbtb buat tempat ngecasnya,"Indeed, the universe really supports me in buying a TBTB office electric car as a place to charge it",0.4201,Positif
154,golongngan yang beli mobil listrik hanya 2 1 banyak duit 2 banyak gaya,The group that buys electric cars only has 2 1 lots of money 2 lots of style,0.0,Netral
155,nanti cocok mau buat cocok di uji tidak lulus semua om seperti mobil listrik tidak lulus uji emisi,"If it's suitable later, if you want to make it suitable, it won't pass all the tests, uncle, like electric cars don't pass emissions tests",0.4215,Positif
156,rakyat suruh pindah ke mobil listrik,People are telling us to move to electric cars,0.0,Netral
157,kok tbtb saya ingin punya mobil listrik,why tbtb I want to have an electric car,0.0772,Positif
158,mobil listrik,electric car,0.0,Netral
